Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Cymbella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Cymbellaceae,,,Cymbella,,,,,unlisted,unlisted,,new 2006,observed,,,,,,2006-01-10,Mark Webber,https://www.inaturalist.org/observations/5197569,,123878,ALG
Dactyliosolen fragilissimus,(Bergon) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Dactyliosolen,fragilissimus,,,,unlisted,unlisted,,new 2020,observed,,,,,,2020-04-25,Mark Webber,https://www.inaturalist.org/observations/50047033,,429201,ALG
Desmarestia aculeata,(Linnaeus) J.V.Lamouroux,,wiry acid weed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,aculeata,,,,unlisted,unlisted,,reported,unobserved,2008-02-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,"Possible, no photo to check",182896,ALG
Desmarestia herbacea,(Turner) J.V.Lamouroux,,colour changer,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,herbacea,,,,unlisted,unlisted,,new 2009,observed,,,,,,2009-07-08,Shera Street,http://www.inaturalist.org/observations/2635150,,345459,ALG
Desmarestia ligulata,(Stackhouse) J.V. Lamouroux,,flattened acid kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,ligulata,,,,unlisted,unlisted,,confirmed,observed,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Isabelle M. Côté,https://www.inaturalist.org/observations/129150963,"Possible, no photo to check",328357,ALG
Desmarestia viridis,(O.F. Müller) J.V. Lamouroux,,stringy acid weed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,viridis,,,,unlisted,unlisted,,confirmed,observed,1999-05-05,Andy Lamb & Donna Gibbs,PMLS,,,2017-04-08,Tyrel Froese,https://www.inaturalist.org/observations/5620551,,182892,ALG
Detonula pumila,(Castracane) Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Detonula,pumila,,,,unlisted,unlisted,,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/5197581,,468053,ALG
Devaleraea callophylloides,"(M.W.Hawkes & Scagel) G.W.Saunders, Jackson & Salomaki",,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Devaleraea,callophylloides,,,,unlisted,unlisted,,reported,unobserved,2005,Andy Lamb & Donna Gibbs,PMLS,,,,,,"No update, No UBC or iNat record for species ID; authority added",747468,ALG
Devaleraea mollis,"(Setchell & N.L.Gardner) G.W.Saunders, C.J.Jackson & Salomaki",,thin dulse,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Devaleraea,mollis,,,,unlisted,unlisted,,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,reported as Palmaria mollis,747472,ALG
Dictyocha crux,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,crux,,,,unlisted,unlisted,,new 2006,observed,,,,,,2006-07-13,Mark Webber,https://www.inaturalist.org/observations/5197588,,534455,ALG
Dictyocha fibula,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,fibula,,,,unlisted,unlisted,,new 2005,observed,,,,,,2005-01-20,Mark Webber,https://www.inaturalist.org/observations/4849190,,424389,ALG
Dictyocha speculum,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,speculum,,,,unlisted,unlisted,,new 2005,observed,,,,,,2005-07-19,Mark Webber,https://www.inaturalist.org/observations/48042848,,473993,ALG
Dictyota binghamiae,J.Agardh,,mermaid's gloves,Chromista,Ochrophyta,,,Phaeophyceae,,,Dictyotales,,,Dictyotaceae,,,Dictyota,binghamiae,,,,unlisted,unlisted,,reported,unobserved,1999-05-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,"Possible, no photo to check",124829,ALG
Dinophysis acuminata,Claparède & Lachmann,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,Dinophysis,acuminata,,,,unlisted,unlisted,,new 2012,observed,,,,,,2012-08-05,Mark Webber,https://www.inaturalist.org/observations/4849148,,320121,ALG
Diploneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Diploneidineae,,Diploneidaceae,,,Diploneis,,,,,unlisted,unlisted,,new 2006,observed,,,,,,2006-01-22,Mark Webber,https://www.inaturalist.org/observations/50195051,,345801,ALG
Ditylum brightwellii,(T. West) Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Lithodesmidales,,,Lithodesmiaceae,,,Ditylum,brightwellii,,,,unlisted,unlisted,,new 2011,observed,,,,,,2011-11-19,Mark Webber,https://www.inaturalist.org/observations/4848365,,424387,ALG
Ectocarpus sp.,,,brown tuft,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Ectocarpaceae,,,Ectocarpus,,,,,unlisted,unlisted,,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,182843,ALG
Endocladia muricata,(Endlicher) J.Agardh,,nail brush seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Endocladiaceae,,,Endocladia,muricata,,,,unlisted,unlisted,,confirmed,observed,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-05,Bridgette Clarkston,https://www.inaturalist.org/observations/25927063,,117781,ALG
Ephemera cf plana,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Naviculineae,,Plagiotropidaceae,,,Ephemera,plana,,,,unlisted,unlisted,,new 2008,observed,,,,,,2008-07-19,Mark Webber,https://www.inaturalist.org/observations/4856515,,,ALG
Eucampia zodiacus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Hemiaulales,,,Hemiaulaceae,,,Eucampia,zodiacus,,,,unlisted,unlisted,,new 2004,observed,,,,,,2004-07-23,Mark Webber,https://www.inaturalist.org/observations/4848935,,468045,ALG
Eupyxidicula turris,(Greville) S.Blanco & C.E.Wetzel,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Archaegladiopsophycidae,,Stephanopyxales,,,Stephanopyxidaceae,,,Eupyxidicula,turris,,,,unlisted,unlisted,,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/4848947,,1268528,ALG
Farlowia mollis,(Harvey & Bailey) Farlow & Setchell,,tattered red seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Farlowia,mollis,,,,unlisted,unlisted,,confirmed,observed,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861009,,117783,ALG
Fragilaria capucina,Desmazières,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Fragilaria,capucina,,,,unlisted,unlisted,,new 2004,observed,,,,,,2004-07-20,Mark Webber,https://www.inaturalist.org/observations/5197628,,345512,ALG
Fragilariopsis cf oceanica,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Fragilariopsis,oceanica,,,,unlisted,unlisted,,new 2006,observed,,,,,,2006-01-24,Mark Webber,https://www.inaturalist.org/observations/5197620,,,ALG
Fredericqia chiton,"(M.Howe) Maggs, L.Le Gall, Mineur, Provan & G.W. Saunders",,thin forked seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Phyllophoraceae,,,Fredericqia,chiton,,,,unlisted,unlisted,,reported,unobserved,2016-03-27,Andy Lamb & Donna Gibbs,PMLS,,,,,,reported as Gymnogongrus chiton,957351,ALG
Fredericqia deveauniensis,"Maggs, L.Le Gall, Mineur, Provan & G.W.Saunders",,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Phyllophoraceae,,,Fredericqia,deveauniensis,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-05,Bridgette Clarkston,https://www.inaturalist.org/observations/25927077,,564944,ALG
Fryeella gardneri,(Setchell) Kylin,,arched red seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Fryeellaceae,,,Fryeella,gardneri,,,,unlisted,unlisted,,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57499,,,,,"no change, but no photos to confirm",500286,ALG
Fucus distichus,L.,,rockweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,,,Fucus,distichus,,,,unlisted,unlisted,,confirmed,observed,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,2014-02-11,lhurteau,https://www.inaturalist.org/observations/16788084,syn. Fucus distichus ssp. evanescens,69155,ALG
Gloiocladia fryeana,(Setchell) N.Sánchez & Rodríguez-Prieto,,margined blue branching seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Faucheaceae,,,Gloiocladia,fryeana,,,,unlisted,unlisted,,reported,unobserved,2006-09-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,reported as Fauchea fryeana,865801,ALG
Gloiocladia laciniata,(J.Agardh) Sánchez & Rodríguez-Prieto,,blue branching seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Faucheaceae,,,Gloiocladia,laciniata,,,,unlisted,unlisted,,confirmed,observed,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Isabelle M. Côté,https://www.inaturalist.org/observations/129284352,,429862,ALG
Gomphonema acuminatum,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphonema,acuminatum,,,,unlisted,unlisted,,new 2004,observed,,,,,,2004-07-21,Mark Webber,https://www.inaturalist.org/observations/9291305,,333685,ALG
Gomphonema sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphonema,,,,,unlisted,unlisted,,new 2004,observed,,,,,,2004-07-21,Mark Webber,https://www.inaturalist.org/observations/4849029,,123886,ALG
Gracilaria pacifica,Abbott,,California limu,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gracilariales,,,Gracilariaceae,,,Gracilaria,pacifica,,,,unlisted,unlisted,,reported,unobserved,1996-04-02,E. McNeil,UBC,A82320,,,,,"no change, but no photos to confirm",497324,ALG
Gracilariophila oryzoides,Setchell & H.L.Wilson,,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gracilariales,,,Gracilariaceae,,,Gracilariophila,oryzoides,,,,unlisted,unlisted,,new 2021,observed,,,,,,2021-04-10,Kevin Toomer,https://www.inaturalist.org/observations/73655263,,339047,ALG
Gracilariopsis andersonii,(Grunow) E.Y.Dawson,,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gracilariales,,,Gracilariaceae,,,Gracilariopsis,andersonii,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861429,Can't identify for certain without reproduction or D,360321,ALG
Griffithsia pacifica,Kylin,,orange-coloured red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Ceramiaceae,,,Griffithsia,pacifica,,,,unlisted,unlisted,,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57492,,,,,"no change, but no photos to confirm",326993,ALG
Guinardia delicatula,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Guinardia,delicatula,,,,unlisted,unlisted,,new 2006,observed,,,,,,2006-07-21,Mark Webber,https://www.inaturalist.org/observations/4873172,,429202,ALG
Guinardia striata,(Stolterfoth) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Guinardia,striata,,,,unlisted,unlisted,,new 2007,observed,,,,,,2007-01-23,Mark Webber,https://www.inaturalist.org/observations/4873173,,416666,ALG
Halamphora coffaeiformis,(C. Agardh) Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,coffaeiformis,,,,unlisted,unlisted,,new 2005,observed,,,,,,2005-07-19,Mark Webber,https://www.inaturalist.org/observations/4874695,,521731,ALG
Halosaccion glandiforme,(S.G. Gmelin) Ruprecht,,sea sacs,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Halosaccion,glandiforme,,,,unlisted,unlisted,,confirmed,observed,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910080,,123649,ALG
Herposiphonia plumula,(J.Agardh) Falkenberg,,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Rhodomelaceae,,,Herposiphonia,plumula,,,,unlisted,unlisted,,reported,unobserved,2011,G.W. Saunders & K. Hind,BOLD,MF120830,,,,,"""Herposiphonia plumula"" COI Sequenced; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.",1238397,ALG
Hildenbrandia rubra,(Sommerfelt) Meneghini,,rusty rock,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,,,Hildenbrandiales,,,Hildenbrandiaceae,,,Hildenbrandia,rubra,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859343,,183033,ALG
Hincksia sp.,,,brown tuft,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Acinetosporaceae,,,Hincksia,,,,,unlisted,unlisted,,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,372715,ALG
Hobaniella longicruris,(Greville) P.A.Sims & D.M.Williams,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,incertae sedis,,,incertae sedis,,,Hobaniella,longicruris,,,,unlisted,unlisted,,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/50022381,,1269705,ALG
Hymenena sp.,,,black-lined red seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,,,Hymenena,,,,,unlisted,unlisted,,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,339066,ALG
Isthmia nervosa,Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,Isthmia,nervosa,,,,unlisted,unlisted,,new 2008,observed,,,,,,2008-07-20,Mark Webber,https://www.inaturalist.org/observations/5197632,,348140,ALG
Laminaria setchellii,P.C.Silva,,split kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,Laminaria,setchellii,,,,unlisted,unlisted,,reported,unobserved,2008-04-27,Andy Lamb & Donna Gibbs,PMLS,,,,,,"No UBC accession or iNat record to check, but species distribution includes Galiano; authority added",81896,ALG
Leathesia marina,(Lyngbye) Decaisne,,sea cauliflower,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Chordariaceae,,,Leathesia,marina,,,,unlisted,unlisted,,new 2015,observed,,,,,,2015-08-28,Lauren Magner,http://www.inaturalist.org/observations/3636580,,502380,ALG
Leptocylindrus danicus,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Leptocylindraceae,,,Leptocylindrus,danicus,,,,unlisted,unlisted,,new 2012,observed,,,,,,2012-08-05,Mark Webber,https://www.inaturalist.org/observations/50001446,,521678,ALG
Leptocylindrus minimus,Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Leptocylindraceae,,,Leptocylindrus,minimus,,,,unlisted,unlisted,,new 2012,observed,,,,,,2012-07-30,Mark Webber,https://www.inaturalist.org/observations/4849113,,469827,ALG
Lessoniopsis littoralis,(Farlow & Setchell ex Tilden) Reinke,,strap kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Lessoniaceae,,,Lessoniopsis,littoralis,,,,unlisted,unlisted,,reported,unobserved,1996-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,species distribution includes San Juan Islands so is plausible; authority added,464963,ALG
Licmophora flabellata,(Greville) C.Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Licmophorales,,,Licmophoraceae,,,Licmophora,flabellata,,,,unlisted,unlisted,,new 2011,observed,,,,,,2011-11-19,Mark Webber,https://www.inaturalist.org/observations/50058346,,474014,ALG
Lithothamnion sp.,,,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Corallinophycidae,,Corallinales,,,Corallinaceae,,,Lithothamnion,,,,,unlisted,unlisted,,new 2015,observed,,,,,,2015-01-01,Peter Luckham,https://www.inaturalist.org/observations/2797300,,117829,ALG
Lomentaria hakodatensis,Yendo,,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Lomentariaceae,,,Lomentaria,hakodatensis,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-24,Bridgette Clarkston,https://www.inaturalist.org/observations/25861437,,345348,ALG
Loranthophycus californicus,E.Y.Dawson,,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,,,Loranthophycus,californicus,,,,unlisted,unlisted,,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027463,,,,,"""Loranthophycus californicus” COI Sequenced; name updated from Holmesia californica (E.Y.Dawson) E.Y.Dawson (from algaebase, but doesn't appear to be a new update yet G&L key still lists Holmesia with no comment); for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuing taxonomy uncertain, putting name in quotes.",,ALG
Mastocarpus papillatus,(C.Agardh) Kützing,,Turkish washcloth,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Phyllophoraceae,,,Mastocarpus,papillatus,,,,unlisted,unlisted,,new 2015,observed,,,,,,2015-08-05,Andrew Simon,http://www.inaturalist.org/observations/2599389,Need an expert or D to confirm,117807,ALG
Mazzaella oregona,"(Doty) Hughey, P.C.Silva & Hommersand",,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Gigartinaceae,,,Mazzaella,oregona,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861031,,362211,ALG
Mazzaella parksii,"(Setchell & N.L.Gardner) Hughey, P.C.Silva & Hommersand",,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Gigartinaceae,,,Mazzaella,parksii,,,,unlisted,unlisted,,new 2017,observed,,,,,,2017-04-14,Andrew Simon,https://www.inaturalist.org/observations/5715306,,429950,ALG
Mazzaella splendens,(Setchell & N.L. Gardner) Fredericq,,iridescent seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Gigartinaceae,,,Mazzaella,splendens,,,,unlisted,unlisted,,confirmed,observed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,2016-07-11,Adam Huggins & Tyrel Froese,http://www.inaturalist.org/observations/3684445,,71118,ALG
Melanosiphon intestinalis,(De A.Saunders) M.J.Wynne,,twisted sea tubes,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Chordariaceae,,,Melanosiphon,intestinalis,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859913,,345332,ALG
Melosira moniliformis,C.Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Melosiraceae,,,Melosira,moniliformis,,,,unlisted,unlisted,,new 2012,observed,,,,,,2012-07-13,Mark Webber,https://www.inaturalist.org/observations/4873148,,359966,ALG
Melosira nummuloides,C. Agardh.,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Melosiraceae,,,Melosira,nummuloides,,,,unlisted,unlisted,,new 2010,observed,,,,,,2010-12-26,Mark Webber,https://www.inaturalist.org/observations/50020707,,460262,ALG
Membraneis challengeri,(Grunow) Paddock,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Membraneis,challengeri,,,,unlisted,unlisted,,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/50275774,,521233,ALG
Membranoptera platyphylla,(Setchell & N.L.Gardner) Kylin,,feather-veined red seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,Delesserioideae,,Membranoptera,platyphylla,,,,unlisted,unlisted,,confirmed,observed,1977-11-27,Michael W. Hawkes,UBC,A57497,,2022-02-24,Andrew Simon & Matt Whalen,https://www.inaturalist.org/observations/107423008,reported as Membranoptera multiramosa,873897,ALG
Micrasterias rotata,Ralfs,,desmid,Plantae,Charophyta,,,Conjugatophyceae,,,Zygnematales,,,Desmidiaceae,,,Micrasterias,rotata,,,,unlisted,unlisted,,new 2016,observed,,,,,,2016-12-18,Mark Webber,https://www.inaturalist.org/observations/4847621,,468235,ALG
Microcladia borealis,Ruprecht,,coarse sea lace,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Ceramiaceae,,,Microcladia,borealis,,,,unlisted,unlisted,,confirmed,observed,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25860480,,339006,ALG
Microcladia coulteri,Harvey,,delicate sea lace,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Ceramiaceae,,,Microcladia,coulteri,,,,unlisted,unlisted,,confirmed,observed,2006-11-18,Andy Lamb & Donna Gibbs,PMLS,,,2016-07-11,Adam Huggins & Tyrel Froese,http://www.inaturalist.org/observations/3684449,,71116,ALG
Minidiscus sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Minidiscus,,,,,unlisted,unlisted,,new 2005,observed,,,,,,2005-07-24,Mark Webber,https://www.inaturalist.org/observations/4873137,,521677,ALG
Monostroma grevillei,(Thuret) Wittrock,,sea cellophane,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulotrichales,,,Monostromataceae,,,Monostroma,grevillei,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859558,,465247,ALG
Navicula septentrionalis,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,septentrionalis,,,,unlisted,unlisted,,new 2008,observed,,,,,,2008-07-23,Mark Webber,https://www.inaturalist.org/observations/4874617,,1269159,ALG
Neoagarum fimbriatum,(Harvey) H.Kawai & T.Hanyuda,,fringed sea colander kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Agaraceae,,,Neoagarum,fimbriatum,,,,unlisted,unlisted,,confirmed,observed,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Isabelle M. Côté,https://www.inaturalist.org/observations/129151046,,895193,ALG
Neocalyptrella robusta,(G. Norman ex Ralfs) Hernández-Becerril & Meave del Castillo,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Neocalyptrella,robusta,,,,unlisted,unlisted,,new 2010,observed,,,,,,2010-12-26,Mark Webber,https://www.inaturalist.org/observations/4873124,,493946,ALG
Neogastroclonium subarticulatum,"(Turner) L.Le Gall, Dalen & G.W.Saunders",,,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Champiaceae,,,Neogastroclonium,subarticulatum,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861014,,339052,ALG
Neorhodomela larix,(Turner) Masuda,,black pine seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Rhodomelaceae,,,Neorhodomela,larix,,,,unlisted,unlisted,,confirmed,observed,2008-02-17,Andy Lamb & Donna Gibbs,PMLS,,,2017-01-27,Tyrel Froese,https://www.inaturalist.org/observations/5020868,,67413,ALG
Nereocystis luetkeana,(K.Mertens) Postels & Ruprecht,,bull kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Lessoniaceae,,,Nereocystis,luetkeana,,,,unlisted,unlisted,,confirmed,observed,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,2015-08-28,Lauren Magner,http://www.inaturalist.org/observations/3735010,,120499,ALG
Nitella sp.,,,green alga,Plantae,Charophyta,,,Charophyceae,,,Charales,,,Characeae,,,Nitella,,,,,unlisted,unlisted,,reported,unobserved,2000-06-12,Hans Roemer,ER 128 Inventory,,,,,,,180574,ALG
Nitzschia reversa,W.Smith,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,reversa,,,,unlisted,unlisted,,new 2006,observed,,,,,,2006-01-11,lamawebber,https://www.inaturalist.org/observations/50303688,,479914,ALG
